52.0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
42.0,2,1,0,2,2,1,0.08308201058201058,0.07617283950617285,0.10561111111111113,2,0,1,0,0
42.0,1,1,1,1,1,1,0.08465608465608465,0.07927248677248677,0.08081349206349206,2,1,1,1,1
16.0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
32.0,0,0,1,0,0,1,0,0,0.11505291005291005,1,0,0,1,0
13.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
27.0,0,1,0,0,1,0,0,0.1016468253968254,0,1,0,1,0,0
32.0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
32.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37.0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
37.0,1,1,1,1,1,1,0.08049603174603175,0.1511111111111111,0.13083333333333333,2,1,0,0,0
47.0,0,0,1,0,0,1,0,0,0.12068783068783069,2,0,0,1,0
52.0,0,1,0,0,1,0,0,0.10113095238095239,0,2,0,1,0,0
27.0,0,0,1,0,0,1,0,0,0.12001984126984128,1,0,0,1,0
47.0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
32.0,0,1,0,0,1,0,0,0.0933068783068783,0,1,0,1,0,0
34.5,2,3,2,2,4,2,0.10939153439153437,0.09894965277777777,0.10082671957671958,2,1,0,0,0
37.0,3,2,-1,3,2,1,0.09519764957264958,0.10183421516754851,0.12244708994708993,1,0,1,0,0
42.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42.0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
52.0,0,1,0,0,1,0,0,0.1082473544973545,0,2,0,1,0,0
27.0,0,2,-1,0,2,0,0,0.0922883597883598,0,1,0,1,0,0
34.5,0,1,2,0,1,2,0,0.09458333333333332,0.12787037037037036,1,0,0,1,0
42.0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
52.0,0,0,4,0,0,4,0,0,0.09085714285714286,1,0,0,0,1
47.0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
47.0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
42.0,1,0,0,1,0,0,0.0835978835978836,0,0,2,1,0,0,0
